f1,f2,f3,f4,f5,f6,f7,f8
143530,218,86,8,1122,169,1223,0.7954545454545454	
151787,214,155,12,1281,161,1061,0.8106060606060606	
158523,266,168,11,1154,115,1327,0.8016528925619835	
151562,320,165,9,1247,119,1284,0.7676767676767677	
150651,263,133,8,1348,148,1100,0.7159090909090909	
115609,340,84,5,1489,175,1017,0.6545454545454545	
164305,4,153,13,787,116,1344,0.8181818181818181	
133836,319,47,8,1365,154,1114,0.75	
116687,416,52,4,1620,194,968,0.5454545454545454	
164959,63,154,16,672,151,1522,0.8579545454545454	
161579,350,143,12,1266,71,1315,0.803030303030303	
140054,356,146,8,1630,189,905,0.7272727272727273	
116680,272,84,5,1413,178,1021,0.6727272727272727	
116102,404,51,4,1604,179,977,0.5454545454545454	
173895,8,130,13,719,136,1398,0.8251748251748252	
117265,283,85,5,1428,193,1012,0.6727272727272727	
116194,352,85,5,1505,190,1008,0.6545454545454545	
171982,215,167,14,1071,83,1392,0.8116883116883117	
141708,209,68,8,1141,176,1184,0.7613636363636364	
117052,384,84,5,1556,190,1004,0.6363636363636364	
183335,105,159,14,942,98,1335,0.8246753246753247	
127839,308,163,10,1571,187,910,0.7818181818181817	
125067,274,81,6,1351,183,1055,0.696969696969697	
147521,345,128,7,1375,189,1132,0.6623376623376623	
129099,253,112,6,1398,189,992,0.6666666666666667	
165351,26,162,10,750,169,1375,0.7727272727272727	
161312,52,136,9,890,141,1331,0.7575757575757576	
134593,281,78,7,1455,160,1000,0.7142857142857143	
128291,253,117,6,1362,193,1023,0.6818181818181819	
166988,80,139,10,834,172,1335,0.7818181818181819	
152453,116,137,9,831,144,1429,0.7878787878787878	
170802,116,156,12,1007,105,1325,0.7878787878787878	
173835,84,155,13,993,122,1246,0.8111888111888113	
129416,241,71,4,1366,193,1002,0.5681818181818181	
133199,217,111,9,1232,159,1130,0.7676767676767677	
132904,228,154,7,1294,178,1070,0.7402597402597403	
130093,253,147,7,1362,189,1027,0.7142857142857143	
126950,227,158,7,1294,191,1048,0.7272727272727273	
155234,153,139,8,1111,134,1206,0.7159090909090909	
135593,237,144,9,1357,186,1018,0.7373737373737373	
160118,323,151,11,1258,119,1263,0.768595041322314	
117533,275,62,4,1249,201,1142,0.6363636363636364	
142776,7,131,10,931,155,1164,0.8181818181818181	
133520,240,50,5,1228,204,1132,0.6909090909090909	
123927,299,57,4,1345,193,1094,0.6136363636363636	
181143,106,162,14,892,88,1389,0.8311688311688312	
146276,285,134,8,1576,160,903,0.7159090909090909	
124679,81,88,5,1127,168,1071,0.6909090909090909	
131257,10,101,6,992,169,1113,0.7575757575757576	
147627,429,133,10,1728,150,914,0.7181818181818181	
137500,430,164,10,1709,166,939,0.7272727272727273	
128908,44,95,6,1049,161,1118,0.7272727272727273	
137291,90,136,8,1278,165,948,0.7386363636363636	
159662,47,156,9,641,130,1543,0.8181818181818181	
137039,10,94,8,999,157,1120,0.7727272727272727	
120349,299,63,4,1345,192,1095,0.6136363636363636	
125142,81,88,5,1126,168,1072,0.6909090909090909	
164270,33,141,14,668,153,1472,0.8506493506493507	
125609,222,75,6,1211,189,1144,0.7272727272727273	
145425,89,134,9,774,190,1373,0.7878787878787878	
123924,217,95,6,1206,193,1130,0.7272727272727273	
121715,283,78,5,1201,186,1228,0.6545454545454545	
124932,222,60,5,1211,195,1138,0.6909090909090909	
166283,39,130,10,790,170,1373,0.8	
147223,104,134,9,751,166,1454,0.797979797979798	
166885,157,172,14,1328,162,1025,0.7987012987012987	
170009,227,148,10,1284,152,1113,0.7454545454545455	
145449,146,136,9,806,174,1474,0.8181818181818182	
146355,323,141,8,1359,124,1192,0.7159090909090908	
149931,92,131,9,937,158,1296,0.797979797979798	
132916,255,115,6,1322,192,1070,0.7121212121212122	
112846,418,77,4,1557,175,1034,0.5227272727272727	
152881,20,80,10,765,152,1373,0.8090909090909091	
120560,383,56,6,1433,184,1099,0.6818181818181819	
174025,20,124,16,681,133,1460,0.8465909090909091	
171052,147,133,11,1071,86,1313,0.7520661157024794	
161242,315,116,8,1707,157,851,0.6590909090909091	
117625,304,70,5,1388,177,1064,0.6363636363636364	
112928,418,77,4,1570,172,1024,0.5227272727272727	
117603,304,70,5,1399,177,1053,0.6363636363636364	
162732,32,143,12,781,151,1378,0.8181818181818182	
151994,72,140,12,859,154,1357,0.8257575757575758	
172853,245,176,12,1028,92,1449,0.8106060606060607	
115719,336,70,5,1437,175,1049,0.6363636363636364	
116670,336,62,6,1372,185,1106,0.6818181818181819	
116181,336,70,5,1393,177,1093,0.6363636363636364	
116159,336,70,5,1404,177,1082,0.6363636363636364	
154527,159,165,10,1484,133,875,0.7	
114230,402,70,5,1505,175,1055,0.6181818181818182	
120460,352,135,5,1538,191,965,0.6	
116579,402,62,5,1465,188,1082,0.6363636363636364	
116692,336,62,6,1361,185,1117,0.6818181818181819	
118744,360,137,7,1376,183,1124,0.7272727272727273	
